business_id;less_100m;less_500m;less_1km;less_5km;less_10km;less_50km
uxZENO1iy7tz8MK77L3_GQ;2;17;49;624;812;2149
6WJ-dFE9axF2o55NQWrNgA;3;6;6;12;52;466
Bb3F76xkJrA-IwXLNK52RQ;1;52;139;677;838;2179
-3-6BB10tIWNKGEF0Es2BA;0;2;4;43;195;350
XQfwVwDr-v0ZS3_CbbE5Xw;2;2;2;20;89;2033
N7wYxm84QtcqTJZfGWpxzw;0;3;5;34;46;475
wCgIJhH_CTuwsSZPcafkng;0;0;0;11;152;466
2qhuQ-tnonyLEQLw2cbvAg;0;2;2;22;105;377
sZyBB8wv0O1We1x40-Edug;0;0;0;21;49;981
VJnq2lgXILRaGuXXlmRztw;0;1;1;21;39;1762
RrqRin8BYGrTlJbCDwtLzA;5;24;71;620;855;2180
bc3K8KvLkLNu_XU3RkeeeA;0;3;7;73;232;350
vMD5bn1mbL18spr7Mmzlyg;1;1;3;37;271;471
aqubLw9IW03svL_uDXNJ8A;0;3;3;10;31;516
WJIc6ZlR-pd9W-Vt-rRtzA;1;5;6;37;157;946
Fr7An-N0iyNXOPDaoPEzHw;0;1;1;2;13;829
Rl7W2JPAUWFo2ZZdVeGAWA;2;6;9;37;72;1982
8uF-bhJFgT4Tn6DTb27viA;1;7;23;251;369;471
A0F-h3xJm_6gHDKcDQwSrQ;3;29;73;602;870;2186
Jn5nZ0b-cdBS2xHnF4msug;0;0;0;4;27;517
wnjFEC-w0qWnyDnO8k1RpA;0;3;3;22;187;493
duf2PORLOL6it1dTGhSnKA;0;0;1;115;856;2215
57WmsMG9ApjYT7zNNX0YYw;0;1;1;20;43;1526
VzKca5jeWbfDeqzZZRElzQ;1;1;3;19;114;1986
h9LVl1yLP69rqWNmsGgALA;0;2;3;3;6;342
IoHOUGETebGrG3oDGSoAdg;0;0;0;18;68;1880
WrR6yPcE2Pf-zFR5W9vPxg;2;6;11;43;253;377
pMK3BNK9Mk0jopvoVACwbA;0;2;5;56;223;2062
iyW-OrFw2YnRxsoeQ36skg;0;1;2;20;43;1784
Uq1o6DXKALmjdElXp4mEtQ;1;3;3;42;163;1094
PTn0hZz7BiP5T2muyoxrjQ;3;76;220;682;834;2180
JkyEYN3pCk1B7qRuXAUX4g;0;0;1;23;91;2049
s4VzQaUCrgwPuViQYOqC2w;0;2;3;35;151;1094
IRkQtjBxgVEqAOdtjgi6hQ;1;1;9;106;226;1089
eaJCpC6IhYphj7bwCDHTwQ;0;3;8;179;248;493
3bmrxhqVpB5XCg-4j6y39A;0;0;0;13;38;483
GZdflq6wvOXyOtSFThqNmA;0;2;4;15;48;1715
SpKppNFimODBt-BZ0c2WbA;1;1;1;58;173;2147
p24n1vScP_MHxJVPrao-jA;2;2;6;128;268;518
3_kZ2pDiKJLZ9kGKKOWqdA;0;0;1;25;97;2065
eqNutOMnPqKa9QDAY6KfEw;7;63;208;678;831;2180
dwoqTu3q0D_T2UfT7cgHqw;0;0;1;114;165;466
ZgqZAKHXZi5HoCRYcTh9Gw;1;2;2;20;89;2034
L3u4I6wHtwMQJ-ZtvfrkkQ;0;0;1;4;31;338
K51bVqlGcpTMDK3-SDkBeQ;0;1;2;17;126;493
dcpWZ6Yk_S0HqTlNBi8jiA;0;0;21;201;307;377
CPFKi2lZJazP6IdtCdDDyg;2;3;10;158;228;267
Wndkw2PinAwTgjeUJOTdCg;2;24;58;163;231;267
4oI4ikLPM6yDyw0QUrv53Q;0;0;0;20;78;1880
x1zvE33a3y4lSKnbCsaAUA;0;0;2;38;125;1873
hdVqM-QngiiLRaMOvwXglQ;1;4;35;196;301;377
M1t2pqGZmSIygY4880a_lQ;0;1;1;13;54;377
aG8XkIE_TMkr_QKSfaFBBg;0;1;4;97;202;350
ByEfpxv69HFqBYU3_r7HtA;0;2;2;99;183;466
qVVz1sRZVNH2xt865M64Dg;0;0;4;10;26;489
pXb7pDVPayyElIqVlh1FOg;1;8;33;592;802;2148
1feuZITxuTrl9mr7V11kwQ;2;6;7;27;87;350
cljHYek6vHtqUgUsnJBqmA;0;8;16;78;207;518
uGqgf0SNirwrezTrv3GLJQ;1;6;10;38;74;1981
71q2UD1A7KL2q4AA8mPobQ;0;0;0;72;211;518
H3p3b8nbB3OtIfQyQGKDkg;0;0;2;19;37;1211
sD2yBIzp0SNYRMD4QfH9Jw;7;20;42;616;848;2158
9XpU6r6ATXSWYfbU7kibaQ;5;70;191;683;839;2186
g-0-_hPz-yr_f4gBFbX2Ow;0;0;0;10;60;977
Zm3X8i9GsYaxdWHlI-WQwg;3;16;30;103;196;350
GvRA736fSqNZPe_OJRCt-w;0;5;26;178;254;493
JG0MsBKH1blxSzOgg2HjQA;2;5;11;93;205;518
ffvS2BlFwQra5FTPNk5N2g;0;0;3;42;219;518
Bsq3-p3cDBi7bfgPDJq7aQ;0;2;4;45;133;1052
7YiLEuHuUONZrMPT0OxXUQ;2;10;49;154;234;267
J7TZeIXaJFgrSIZzAjQMsw;0;1;7;40;185;350
a42bnC6qseReimp6Ot09lA;1;5;7;68;246;493
aI2w94F3TvIuPTcflKVCJQ;2;9;22;262;372;471
CxoRg-ZcXdpqXWmUJliYog;0;1;1;5;18;717
XYaOXB1i1zT2zAWreYbX0g;2;4;8;109;169;466
y8R6_RZsBO-b__bJaQjuaw;0;4;14;16;48;1852
-utd1de-UUgQKZE4VHVLlw;0;1;1;6;133;267
GOSVLhjUT6TnrPhkkmDOpw;1;7;17;662;850;2179
lrARqZZdNhkeH6o6-hP4ZQ;0;2;7;235;385;471
j9YkV3Rw74YKXABDk7IALg;2;4;8;73;177;350
oenwq6HeMQGonbzrMNGoQg;0;0;0;14;40;1973
kUR59XFQps7CwVlo43wIlg;0;4;4;22;155;466
5QefK7gbedeBiqsYJW54Bw;1;1;4;196;386;471
zxuVnNVAUm16Sro0dS_lmg;1;33;61;158;233;267
7KFWWjzHOSBl9HDVXkyusQ;0;0;0;46;633;2069
PNPREi-W9kVr37KWqD11rg;1;1;5;85;159;216
XAaXtqL1_HsI2t6FEIrA8Q;1;2;7;81;257;518
RYbqjtb0P6fNQh-Txs4LBA;1;18;45;202;306;377
0vU_OcoHU_hcEfNTpDyOvA;0;8;79;667;823;2161
MX7qpwwwdBry69K-V4432w;3;14;16;27;43;1768
_QDlxjPJf76c5O9OqY_tqA;0;2;2;19;50;1573
CPdzdO7YuxFSUOWYhqthOA;1;4;5;86;450;2200
LTEpFgVru40dLvg1dsaD8g;0;1;6;44;78;1546
iPuUDOwZKlGewjaDVo9kOg;0;0;0;14;33;516
2gTnSpYBmg_5JubGpCtSQQ;0;1;1;42;95;466
37yDMpWI6HBO2iW8slv7_Q;1;1;5;60;201;518
y0pfoNQOyrb98aEIdH6cnA;0;1;1;20;58;1652
kLS3Sth5HvO0IjrXCCvXxA;4;70;147;679;843;2184
vDhOjSNfgA4eE1Rj88-XDA;1;2;5;107;231;350
TMT9U2da4ewGbk38X54KJA;0;3;4;43;101;1035
59fWFpyDg01BTEH-Hh6jdw;0;1;2;11;71;1814
7Bq927oiZRlEVMqQSNR0Lg;0;2;2;168;869;2160
hjRxa6xpKOwnbUgGvVCE5Q;0;0;1;138;234;267
lTqAGjcQHeY3eTXBTIcvkA;1;1;4;121;256;493
eOeKgRKbs-iAsIEOmHTrYg;0;0;3;96;833;2174
3RtMd3VZ21WL5auDr6Jp9A;2;42;62;101;118;183
8PjqEoQoQKhmsvSDF9dHQA;1;1;1;8;19;1066
gq4zw-ru_rkZ2UBIanaZFQ;0;3;18;650;843;2175
-sRtgVuwRz7JJQaHiLV9zw;0;2;2;94;577;2179
ABp0BSeiYty6EpVW2ScO-w;2;2;2;49;313;471
caGpaptBP4BKJkpH5W6cvA;1;5;6;128;226;350
-6TttC-1-rf5gC0QHWrs_w;0;1;1;31;245;471
OTBWyXkNsBYHqIlXJXnEDA;1;79;199;677;829;2178
8ZN5M6bUQ_KWo8YbxYSVPA;0;0;13;537;789;2148
laBlOr7v6w7Sf5yxbHhAcA;3;17;44;185;258;493
9DhjKaR2f9wKATnUvxBAgg;1;3;4;41;90;1032
x975oi4VWOxHJWE6dwSPzw;2;4;8;40;87;1046
XfvJ2iEq0XmciWIJvelZZA;0;0;1;15;116;492
zSEqhlaHqY8sIDxznturEQ;0;0;0;18;76;1819
JE4gQjflWbg9eg3CSZvAVg;1;26;62;252;375;471
1NJTnfFfLYnt8-p3iUoGOg;1;4;10;47;270;377
RPLPto1ejkyE8vsGOV5phg;1;2;7;64;405;2172
ulwns2OavT81v6zG-Sk6ng;0;0;0;21;83;1302
-yi4ks8BKZ-_xcJYT9WLjQ;0;0;2;52;137;1021
O_V9eD3bne7DrZtNHT4Tfg;0;2;2;12;24;1034
8ZHMr31oBElXmaqSmZJs2Q;0;0;2;25;47;1528
Y8IzgicQSkxNsewSzR7NLg;0;0;4;66;515;2087
VU9rKbmrj_Oh1VLvUI_yZg;1;3;5;227;383;471
IzKWd5VmKcwlxK9GWBuohA;0;2;4;9;11;466
Z1whpjCi-3RiuBPUtdK44A;1;1;3;31;77;2005
IjJSHYMgXV3ZQSAr0tn19A;1;1;1;30;140;267
xsbUN2133MlOmQlAqRPVtA;0;0;0;0;10;1689
6HRbMeGq5Y4hqRkgXnG6Ig;1;10;20;117;251;1090
YaLZlatMJU_eXurZXtihHQ;0;0;2;27;124;1976
vdpxxb6fxjYtJMnW_V0GZg;0;7;13;660;851;2189
WZPCfTRiN4ipajP7gFfziA;0;0;1;218;887;2207
hgdh0gKSczCIjLikWtZpGg;0;0;2;31;108;1917
g04aAvgol7IW8buqSbT4xA;6;42;84;264;377;471
JOiDhBBiSu79PdPnYx87Xw;0;1;3;32;107;466
Gib553AC85MoMzQSusnc6w;0;0;0;8;16;350
Wo2aCm_YFYh48P69ZsEIDQ;1;1;2;18;48;1002
JrlYnMIFLq2NWLk9EbM4AA;7;9;12;22;49;1853
6FvC6w810uf6O7Ocd6Wpog;0;0;0;35;141;518
rZIoDcsE7vsneLXRzkXlfQ;0;0;0;16;47;377
pt0SLWdKuqrv7KRMgpOhLw;2;6;9;68;165;2038
YJ4jzBFJU2EJhM-zatdLRQ;0;0;1;111;846;2152
hNH1ILskk1qu7TA0rBvvlw;0;1;1;24;50;466
Jubq4o59PS1Q3vyxBgrtQw;0;0;0;27;45;1730
Amq1IKeqyyWrx6rt8j5TLQ;0;5;6;9;35;939
b-4xNydyGmdv2bGFOHTgdw;1;3;35;198;301;377
-7Rx5jVeQmlVoAU_oXrzew;0;2;2;64;166;2013
3LQsW2WJ1pmnRgH23C6YiA;0;0;0;3;26;466
eJYvM2Zy5BloOYGldWmAVw;2;2;2;48;313;471
aEEC4D-RylmiUyephE5t_g;3;17;43;185;258;493
9Udgv_7h8oj6NXq5hQeJow;0;1;1;18;241;377
rH0FgPdxWWhH4YFz4mempg;0;0;8;84;256;518
aROhaLh-dqtt-h6BG-gn2w;0;1;2;234;369;471
7AAUjAvOS10dMx1F_QMaew;0;5;36;149;235;267
WYPTqTbf7MHfxuHlIyZCkw;1;1;1;11;49;1739
vdoA5t_zL0nTTww1PQkTVw;0;1;2;17;138;948
dj84zlrBW3CKjcH8vCkXZQ;0;1;5;81;253;518
MdcgaLvlmhYwpb5l3NT19g;2;5;5;17;48;1009
HMQ1HMB6r__ol7tSaiNvfg;0;28;50;112;170;466
ggJXlslLYndvE7n3hgJBCQ;1;3;19;46;80;1580
lIU2BU8iWOoXBXaxdy7V_w;0;8;43;151;230;267
9_g3DU-5BnpTH1DC1kIe-w;0;1;1;10;47;1738
_mM29ipaSjYo4zJZkswZiA;0;0;0;17;85;1102
3YEBcyWeqno6DzyZcEP0BA;3;21;33;200;309;377
fMsfxOQR01YZPRCnqoNuww;1;1;7;63;202;518
Jx2AoB_IQOUrZ3s6fdAUSA;1;2;2;38;120;1104
Xn9XOYqXa4IHdHnaZr9JAA;1;20;28;74;166;518
5ewePyN_mEE_79OmYyYBEA;0;2;3;3;6;342
bRF8nyWgzrzhQ31NoflMBA;1;16;28;73;167;518
uppHXQH6tuNFtqxT8dRHig;0;0;1;1;9;441
_kSaLnFZIEpOZEg6ZIxKvQ;2;9;29;673;844;2185
iJOwwuhHP_0BCHmpmJ8l4Q;0;1;1;178;824;2160
5xokROlB8Zo5T-_qbHzsrQ;0;6;12;176;244;1090
cyt2QmCjELEDn71j8aE8Ow;1;2;4;23;77;471
1et8GvbWnXrClLli988vJQ;0;2;4;9;11;466
mGxaM5kUC2GhYkp3Dip52Q;0;5;14;121;231;267
dq_B8fJB1oPo645xkwPSKQ;0;7;11;233;394;471
5SiNn7wyc2qOQkOC7EXYOw;0;1;2;42;153;1996
WFRro-8uIBpKoJ1VSKrpdw;3;30;155;669;824;2161
nXJ1dAI-UGbXfeaI_b1abA;0;1;2;37;151;954
n8F6d2M3vGfQSZCXy_2ptg;1;1;3;124;293;377
YMdXDiRiNoKEAFen3XUWFw;2;7;34;220;366;471
Ynokyesqb9pXBT9EUlnAbA;0;1;1;1;4;465
L3QX19EWlkS-clS68Boydg;0;1;7;66;150;471
-9yzQQ0d_rcOD2CzdTNO_Q;0;0;1;45;282;471
Gn04KrDDpvk97Z8MdTgqGg;1;9;41;688;840;2187
ocvQV-47kkkG19z8tmedpw;1;2;3;10;23;488
BuYGuVflKu_pWtS-GXDH0A;0;1;2;12;18;480
9QdXPBRzVRJ8HYouYKQcHw;0;0;0;17;69;1875
A0uUOrjRVEmKmn-jt0KUAA;0;3;4;49;215;493
LA99Dl-b9r1nKIZ3gKC_og;0;2;3;117;271;493
ZSO7isM9z-BkHP0kyE7Tzg;0;1;3;31;122;1990
tZU9d-czS4VfY72zE0Homg;0;0;0;20;86;216
d9i5hq9hIjmp7RN2hsOTzQ;0;0;0;7;82;471
9RDKqyqXJcupSnA2vCIs_A;0;1;2;13;107;183
fgCDIVM8-PLgJuhxePt2MQ;1;3;5;9;67;1939
UJQGJ0tlKO93Lia2JGidZA;2;2;3;61;317;2087
eUAaIuf6oa_gHnI2j0ep3Q;1;5;8;18;111;2109
ub8HSWJPsD_CqImzCehrZg;0;0;0;0;3;216
QAnMrj8-uQMNthhrfXAQfA;7;28;32;78;138;216
bjxpXg1gOwHsN_yaVzJCWQ;0;9;32;209;360;471
nROgQ9JIN0sjv-i5R1rHcA;0;1;4;34;178;1084
lLOuLDox8qPV0Q5jCX9qtw;0;10;11;167;254;493
-RzbRfPnKcwTixtokN-p6A;3;28;96;643;813;2155
D_-w6oXNj_33E7-urbSLLQ;0;2;3;53;188;267
Tl60fwcMb0lzJb5-a7yguw;0;1;2;10;26;477
22DNKxXIMwjcYa1DFebfqA;0;0;1;41;112;1062
VbEm2EN2rpCqSQDVnIZZuw;0;0;0;81;854;2168
EB5pnHGHthrpHw4875lzBg;0;1;1;29;80;1965
I5pKhvba6BZhpHoNqNPkIw;0;1;2;20;38;466
-bOcJEs8imqtSXwG644k1g;0;0;1;10;24;479
2Gik-IBYVBuU3e10pVdkhw;1;19;43;623;809;2156
P0u1f6ea6LsyB8m1CXXyNw;0;2;4;17;29;344
B_q2xoAgTyn6U4YNEc3kSw;1;28;50;103;121;183
AAsbz_OrSLtSoQS0aEbkOg;0;0;3;18;83;515
BjIIbYXQzxAfP2-l1qzhYQ;0;3;6;53;297;1097
Z_70Zl2SgHYmAfOXJQzXbw;1;6;8;21;72;995
GUAF7ybULhg68asLfFZYbA;0;0;1;9;33;490
4kTeF5mHEkXzO-q1sxHZ2A;4;10;22;115;212;350
jsk68Xu_iNWn3oGP3BDyKg;0;0;2;12;49;2030
yRVRqGIjfIwEICeRWDfxtg;0;2;5;53;223;493
Dr2tI5lPLiXQrE0iZRim9A;1;36;66;103;119;183
kj3Lyh9KooU8GcRBbMDQWQ;3;83;210;677;830;2181
K2KJKuC1J4U5WS6Y-9ZWRw;0;0;0;21;102;2078
DUfvvIwagBe9VK2_0RyOug;0;0;1;28;100;1855
EaGQz-Y2aAdfrn1XXgjJ6A;0;12;49;661;827;2170
RhtWU4tTmfzC-715ltmv5Q;1;2;3;13;133;2130
ym3e_a1L4gyKZWU1-LuRYQ;0;3;7;43;80;1539
i6jA8vSHrP9LiUPHlqPVwA;1;25;77;661;829;2165
oDl1Zh9L7rM3o5RNur0kZA;0;3;38;637;864;2198
ANo9sn6kZM9OUYvDLuugbQ;0;0;0;14;57;1029
cCWoPtjDvx2SvwjYw5YAkg;1;2;2;34;105;2073
dccCnHSZyPCst2mn7Jkw-A;1;27;62;160;232;267
AWJyivVwe3t9BO-k8D0ynQ;3;34;98;659;823;2164
Visax-kBz0AY_34PkuvXSQ;0;1;2;35;154;1094
GtfM73QC1y4_j8ghKPSt_w;0;1;4;38;309;471
H1bbYNKgk6JF9pKcBXyDXw;0;0;4;39;154;1966
TSkZWzfBuBr224eBMczZ_g;1;18;44;93;161;998
X_X60vlWlPLWcW97LPrSjw;1;13;15;582;849;2169
QCZvkvipsfyZ_5uBy3PkpQ;0;0;0;21;74;1834
sankqYOVWpYX_T5kGZRRKQ;0;1;4;40;132;1101
xYmyJQiCnsMdxHpMQomxqQ;0;0;0;5;34;466
0-XYsSxJhu8ayKx1f3v_tA;3;22;48;112;171;466
bpEiVcivZFHixcDGKXQQJA;2;7;9;82;649;2204
fvY3H_jCM3yiogUstXsplw;0;7;10;27;104;1861
OQBgwnIHY7vOrbjft8RM8w;1;2;12;81;211;518
OevKyf31TBJkGdKCarZiew;0;1;2;29;90;1905
f3xbrkFqjahlcOs8NSkNsA;0;1;1;12;27;1672
D9p7-HsY9llYP3BaCVg4DA;0;0;0;26;83;901
rmPlBsLaXv9mMPltIZO5hw;0;6;38;264;375;471
5TzAmqzksrUBB2tdHDQAUA;2;3;6;77;134;216
9SVub2VmfgMmyqe3KQh3bA;0;4;10;16;71;491
nt3s_bLQirMU2WysUQ62Sw;4;6;7;111;297;377
ygyLBdPZhXpFmfq6EAZ62Q;2;3;7;24;176;2188
zsDjnBHyJsYfkdry96x75g;0;1;1;23;43;466
hpTU_2MMC9mtWQGq5Jr3ZQ;3;9;14;100;184;993
1JtpcHELRrSDoWS80WtzuQ;0;2;2;9;33;491
h22117eMO-kVtCOLYYL6GA;2;34;63;160;232;267
fVkyuNElYY3AO4a3SxchCg;0;1;1;33;140;1935
hKfs-tsper4UuAOiG23z2A;0;1;32;594;801;2146
7A-q7-bajt0NxMy36dUfIw;0;0;0;47;521;2099
BtXwqcJq0xS607Hsq5Wq1A;2;5;8;24;46;630
NeY1bH6IKJxnn4YAixibsQ;1;38;70;646;857;2181
2zocwC7qMq3LsivPn9Z-Eg;1;6;8;36;146;2137
I3xJD0fXyiokQtb_6sn0fQ;2;6;7;30;151;2143
jvjhFWwbnyn3pqWnBaW_0g;0;0;0;30;108;1923
i5CdJTdTSNUCqtKWzYNRaA;2;9;9;97;247;518
vyyr3G874jpRYSQo2KPZow;0;0;1;48;62;183
hJnW5-ovJQkecq0EZhHaKw;0;0;8;515;784;2153
QDvQmizwCiFGf3y0Om9jyA;0;0;1;53;722;2120
8usO-H5uFTzlISfGZN8rSg;0;5;6;36;109;2124
4OXWn2ytzaq4eTpJy4VvJA;1;1;6;65;172;471
-cDE_lW8Om8w0YIUriXXMg;2;34;84;275;378;471
R-EoysIkhjXJrIUvEgYYLg;0;0;3;56;326;2059
vHAjYdA3c4G3E7HKMl3OgQ;0;1;2;17;47;1769
1qHkyWDixBqIE_SH4fuCXQ;2;4;4;21;46;837
mhkPodUyu4xQe5QBXXlYdA;0;1;3;14;34;1669
YKabQr2Ik2mDtBVvKC5ohA;3;3;5;31;114;991
M8gqtBtaryMw4a5QStE1QQ;0;23;38;620;843;2158
S2f17_R3I2CXculeMDZAig;0;13;16;71;257;2195
BrD8yPqnivir_-PpZ8pjQA;1;28;32;78;138;216
X5s7U0pPUuSPhV2MK0GeqA;2;7;12;45;179;1102
LrxBMhi7qvWrli0z6wRGJQ;5;27;32;80;138;216
vtn32S6zcfPWTYiZuhuFYw;0;2;4;32;171;493
f44uARFaTuIPmbMn2VlSXg;0;1;1;33;258;471
TZw1VM4-B6HLS0ZPXs-hHQ;1;4;7;63;162;471
CA2HX-HS8KSdvB7wW0hdvw;0;0;1;36;118;2084
AefQvASk_wyVDDXIlVoWKQ;0;1;2;15;87;493
0XqNLXvLK3n6j5uDww1qCA;0;2;4;121;254;518
wP7GPGHVd79vx92g9QJclg;1;3;8;85;193;518
L0sPQtAKX2V8HDCw5Yn9UA;0;1;2;25;128;1987
iQa7kNO5jMkGeJCJzbCPGg;0;5;7;25;46;652
-xgWMTF_F8E85I_XImNEgg;1;1;4;48;120;466
GaktVVj3HWX0sVMlCXCWZw;1;5;8;155;231;267
npyH-DyEMLhDMIqEedmB-g;0;3;4;26;89;512
EqEcDeXqIq1YwnzHg_ZUFw;0;1;3;48;123;350
M5rj-zpkCHcGXTxBbcrDXQ;0;4;12;104;187;991
mtowE4p6gOgyGrHAsMz-rg;1;5;9;46;77;1575
aJvxWyQIG5OLfBw3qAe8xA;0;0;2;14;55;493
6yw6rcys6FuMnbatD0lEcA;1;2;2;12;35;518
0ndzIekJs0PRPA5Aoz9sow;1;13;22;63;194;471
SbMcDs06t7IPgXALJ2aNZg;2;19;44;130;254;1090
6FfvGK0ULZzFH2LmyOd0Kw;0;0;0;40;291;1094
vCHNWdW-ys-nWUx3Cpvk8Q;13;90;189;678;837;2180
2kOGFDJ9v4T9AzuKWhwl2g;0;3;17;63;188;471
em474WuTw7-OkhPfX4EohA;0;1;1;6;6;431
